airline,flight_number,origin,destination,arrival_date,symptoms_onset_date,close_contact_rows,reporting_state
Virgin Australia,VA640,Sydney,Canberra,Wed 18 March 2020,2020-04-01 00:00:00,"3,4,5,6,7",ACT
Emirates,EY450,Abu Dhabi,Sydney,Wed 18 March 2020,2020-04-01 00:00:00,"42,43,44,45,46",ACT
Qantas,QF2,Singapore,Sydney,Tue 17 March 2020,Tue 31 March 2020,"74, 75, 76, 77",NSW
Qantas,QF12,San Francisco,Sydney,Tue 17 March 2020,Tue 31 March 2020,"51, 52, 53, 54, 55",NSW
Virgin Australia,VA437,Sydney,Adelaide,Tue 17 March 2020,Tue 31 March 2020,,SA
Emirates,EY78,Amsterdam,Abu Dhabi,Tue 17 March 2020,2020-03-31 00:00:00,,ACT
Qantas,QF94,Los Angeles,Melbourne,Tue 17 March 2020,2020-03-31 00:00:00,"71,72,73,74,75",ACT
Qantas,QF2130,Melbourne,Canberra,Tue 17 March 2020,2020-03-31 00:00:00,"15,16,17,18,19",ACT
Qantas,QF12,San Francisco,Sydney,Mon 16 March 2020,Mon 30 March 2020,"11, 12, 13, 14, 15",NSW
Qantas,QF2,London,Sydney(via Singapore),Mon 16 March 2020,Mon 30 March 2020,"11, 12, 13",NSW
Virgin Australia,VA24,Los Angeles,Sydney,Mon 16 March 2020,Mon 30 March 2020,"29, 30, 31, 32, 33",NSW
Etihad,EY450,Abu Dhabi,Sydney,Mon 16 March 2020,Mon 30 March 2020,"18, 19, 20, 21, 22, 23",NSW
Qantas,QF2,Singapore,Sydney,Mon 16 March 2020,Mon 30 March 2020,"75, 76, 77, 78, 79",NSW
Qatar Airlines,QR905,Doha,Sydney,Mon 16 March 2020,Mon 30 March 2020,"17, 18, 19, 20, 21",NSW
Qantas,QF8765EK413,Christchurch,Sydney,Mon 16 March 2020,Mon 30 March 2020,"7, 8, 9, 10, 11",NSW
Scoot,TR12,Singapore,Sydney,Mon 16 March 2020,Mon 30 March 2020,"7, 8, 9, 10, 11",NSW
Virgin Australia,VA815,Melbourne,Sydney,Mon 16 March 2020,Mon 30 March 2020,"1, 2, 3, 4",NSW
Virgin Australia,VA211,Melbourne,Adelaide,Mon 16 March 2020,Mon 30 March 2020,,SA
Qantas,QF12,San Francisco,Sydney,Sun 15 March 2020,Sun 29 March 2020,"25, 26, 27, 28, 29",NSW
Qantas,QF74,San Francisco,Sydney,Sun 15 March 2020,Sun 29 March 2020,"40, 41, 42, 43, 44",NSW
United Airlines,UA839,Los Angeles,Sydney,Sun 15 March 2020,Sun 29 March 2020,"31, 32, 33, 34, 35",NSW
Cebu Pacific,5J39,Manila,Sydney,Sun 15 March 2020,Sun 29 March 2020,"49, 50, 51, 52, 53",NSW
Etihad,EY454,Abu Dhabi,Sydney,Sun 15 March 2020,Sun 29 March 2020,TBC,NSW
Phillippines Airlines,PR211,Manila,Sydney,Sun 15 March 2020,Sun 29 March 2020,"2, 3, 4, 5, 21",NSW
Qantas,QF2,Singapore,Sydney,Sun 15 March 2020,Sun 29 March 2020,"6, 7, 8, 9, 10",NSW
Thai Airways,TG0475,Bangkok,Sydney,Sun 15 March 2020,Sun 29 March 2020,"61, 62, 63, 64, 65",NSW
Jetstar,JQ461,Ballina,Sydney,Sun 15 March 2020,Sun 29 March 2020,"5, 6, 7, 8, 9",NSW
Emirates,EK414,Dubai,Sydney,Sun 15 March 2020,Sun 29 March 2020,"39, 40, 41, 42, 43",NSW
Qantas,QF866,Sydney,Hamilton Island,Sun 15 March 2020,Sun 29 March 2020,TBC,NSW
Qantas,QF751,Adelaide,Sydney,Sun 15 March 2020,Sun 29 March 2020,,SA
Emirates Airlines,EK440,Dubai,Adelaide,Sun 15 March 2020,Sun 29 March 2020,,SA
Jetstar,JQ453,Gold Coast,Adelaide,Sun 15 March 2020,Sun 29 March 2020,,SA
Thai Airways,TG481,Bangkok,Perth,Sun 15 March 2020,Sun 29 March 2020,"47, 48, 49, 50, 51",WA
British Airways,BA15,Singapore,Sydney,Sat 14 March 2020,Sat 28 March 2020,TBC,NSW
Emirates,EK413,Dubai,Sydney,Sat 14 March 2020,Sat 28 March 2020,"16, 17, 18, 19, 20",NSW
Etihad,EY450,Abu Dhabi,Sydney,Sat 14 March 2020,Sat 28 March 2020,"23, 24, 25, 26, 27",NSW
Etihad,EY454,Abu Dhabi,Sydney,Sat 14 March 2020,Sat 28 March 2020,"79, 80, 81, 82, 8318, 19, 20, 21, 22",NSW
Garuda Indonesia,GA712,Jakarta,Sydney,Sat 14 March 2020,Sat 28 March 2020,"41, 42, 43, 44, 45",NSW
Emirates,EK414,Dubai,Sydney,Sat 14 March 2020,Sat 28 March 2020,"52, 53, 54, 55",NSW
Qantas,QF426,Melbourne,Sydney,Sat 14 March 2020,Sat 28 March 2020,"8, 9, 10, 11, 12",NSW
Malaysian Airlines,MH0141,Kuala Lumpur,Sydney,Sat 14 March 2020,Sat 28 March 2020,"1, 2, 3",NSW
Singapore Airlines,SQ211,Singapore,Sydney,Sat 14 March 2020,Sat 28 March 2020,"31, 32, 33",NSW
QANTAS,QF10,London,Perth,Sat 14 March 2020,Sat 28 March 2020,"38, 39, 40, 41, 42",WA
Emirates,EK0420,Dubai,Perth,Sat 14 March 2020,Sat 28 March 2020,"16, 17, 18, 19, 20, 21",WA
Garuda Indonesia,GA712,Jakarta,Sydney,Sat 14 March 2020,2020-03-28 00:00:00,"41,42,43,44,45",ACT
Qantas,QF12,Los Angeles,Sydney,Fri 13 March 2020,Fri 27 March 2020,"33, 34, 35, 36",NSW
American Airlines,AA0073,Los Angeles,Sydney,Fri 13 March 2020,Fri 27 March 2020,TBC,NSW
Qatar,QR908,Doha,Sydney,Fri 13 March 2020,Fri 27 March 2020,TBC,NSW
Qatar,QR906,Doha,Sydney,Fri 13 March 2020,Fri 27 March 2020,"31, 32, 33, 34, 35",NSW
Jetstar,JQ224,Queenstown,Sydney,Fri 13 March 2020,Fri 27 March 2020,"1, 2, 3",NSW
Malaysian Airlines,MH141,Kuala Lumpur,Sydney,Fri 13 March 2020,Fri 27 March 2020,"32, 33, 34, 35, 36",NSW
Qantas,QF434,Melbourne,Sydney,Fri 13 March 2020,Fri 27 March 2020,"1, 2, 3, 4",NSW
Virgin Australia,VA820,Melbourne,Sydney,Fri 13 March 2020,Fri 27 March 2020,"8, 9, 10, 11, 12",NSW
Virgin Australia,VA859,Sydney,Melbourne,Fri 13 March 2020,Fri 27 March 2020,"10, 11, 12, 13, 14",NSW
Qantas,QF20,Manila,Sydney,Fri 13 March 2020,Fri 27 March 2020,,SA
Qantas,QF739,Sydney,Adelaide,Fri 13 March 2020,Fri 27 March 2020,,SA
Qantas,QF50,San Francisco,Melbourne,Fri 13 March 2020,Fri 27 March 2020,,SA
Qantas,QF679,Melbourne,Adelaide,Fri 13 March 2020,Fri 27 March 2020,,SA
Air New Zealand,NZ191,Auckland,Adelaide,Fri 13 March 2020,Fri 27 March 2020,,SA
