Flight number,Airline,Origin/Destination,Date of departure,Date of arrival,Close contact rows
QR908,Qatar Airlines,Doha/Sydney,22 February 2020,23 February 2020,"41, 42, 43, 44, 45"
EK416,Emirates,Dubai/Sydney,23 February 2020,24 February 2020,"23, 24, 25, 26, 27"
KE121,Korean Air,Seoul/Sydney,26 February 2020,27 February 2020,"41, 42, 43, 44, 45"
QF02,Qantas,Singapore/Sydney,27 February 2020,28 February 2020,"3, 4, 5, 6, 731, 32, 33"
QF1509,Qantas,Sydney/Canberra,28 February 2020,28 February 2020,"2, 3, 4, 5, 6"
VA651,Virgin Australia,Canberra/Sydney,28 February 2020,28 February 2020,"3, 4, 5, 6, 7"
SQ211,Singapore Airlines,Singapore/Sydney,29 February 2020,29 February 2020,"29, 30, 31, 32, 33"
QF82,Qantas,Singapore/Sydney,29 February 2020,1 March 2020,"30, 31, 32, 33, 34"
QR906,Qatar Airlines,Doha/Sydney,29 February 2020,1 March 2020,"17, 18, 19, 20, 21"
OD171,Malindo Air,Kuala Lumpur/Sydney(via Denpasar),29 February 2020,1 March 2020,"13, 14, 15, 16, 17"
QF74,Qantas,San Francisco/Sydney,29 February 2020,2 March 2020,"44, 45, 46, 47, 48"
PR213,Philippine Airlines,Manila/Sydney,1 March 2020,1 March 2020,"59, 60, 61, 62, 63"
SQ221,Singapore Airlines,Singapore/Sydney,1 March 2020,2 March 2020,"91, 92, 93, 94, 95"
SQ231,Singapore Airlines,Singapore/Sydney,2 March 2020,2 March 2020,31-41
QR908,Qatar Airlines,Doha/Sydney,2 March 2020,2 March 2020,"49, 50, 51, 52, 53"
5J39,Cebu Pacific,Philippines/Sydney,2 March 2020,3 March 2020,"22, 23, 24, 25, 26"
VA811,Virgin Australia,Melbourne/Sydney,3 March 2020,3 March 2020,"22, 23, 24, 25, 26"
BA15,British Airways,London/Sydney(via Singapore),3 March 2020,5 March 2020,"22, 23, 24, 25, 26"
VA800,Virgin Australia,Sydney/Melbourne,4 March 2020,4 March 2020,"1, 2, 3, 4"
KE121,Korean Air,Incheon Korea/Sydney,4 March 2020,5 March 2020,"50, 51, 52, 53, 54"
EY450,Etihad,Adu Dhabi/Sydney,5 March 2020,6 March 2020,"42, 43, 44, 45, 46"
VA833,Virgin Australia,Melbourne/Sydney,6 March 2020,6 March 2020,"1, 2, 3, 4"
SQ231,Singapore,Singapore/Sydney,6 March 2020,6 March 2020,"19, 20, 21, 22, 23, 24"
CX101,Cathay Pacific,Hong Kong/Sydney,6 March 2020,7 March 2020,"29, 30, 31, 32, 33"
EK414,Emirates,Duba​i/Sydney,6 March 2020,7 March 2020,"63, 64, 65, 66, 67, 68, 69, 70, 71, 72"
EK090,Emirates,Switzerland/Dubai,7 March 2020,7 March 2020,"39, 40, 41, 42, 43"
MH123,Malaysian Airlines,Kulala Lumpur/Sydney,7 March 2020,8 March 2020,"12, 14, 15, 16, 17"
QF12,Qantas,Los Angeles/Sydney,7 March 2020,9 March 2020,"84, 85, 86, 87, 88"
EK414,Emirates,Dubai/Sydney,7 March 2020,8 March 2020,"5, 6, 7, 8, 9"
QF74,Qantas,San Francisco/Sydney,7 March 2020,9 March 2020,"3, 4, 5, 6, 7"
QF8,Qantas,Dallas/Sydney,7 March 2020,9 March 2020,"58, 59, 60, 61, 62"
VA535,Virgin Australia,Sydney/Coolangatta,8 March 2020,8 March 2020,"19, 20, 21, 22, 23"
QF8414,Qantas,Dubai/Sydney,8 March 2020,8 March 2020,"45, 46, 47, 48, 49"
EK414,Emirates,Dubai/Sydney,8 March 2020,8 March 2020,"6, 7, 8, 9, 11,12, 14, 15, 16, 45, 46, 47, 48, 49, 58, 59, 60, 61, 62"
EY450,Etihad,Abu Dhabi/Sydney,9 March 2020,10 March 2020,"35, 36, 37, 38, 39"
EK412,Emirates,Dubai/Sydney,9 March 2020,10 March 2020,"56, 57, 58, 59, 60"
VA2,Virgin Australia,Los Angeles/Sydney,9 March 2020,11 March 2020,"2, 3, 4, 5, 6"
QF8,Qantas,Dallas/Sydney,9 March 2020,11 March 2020,"11, 12, 13, 14, 15, 73, 74, 75, 76, 77"
SQ241,Singapore,Singapore/Sydney,10 March 2020,10 March 2020,"42, 43, 44, 45, 46"
QF12,Qantas,Los Angeles/Sydney,10 March 2020,12 March 2020,"2, 3, 4, 5"
QF424,Qantas,Melbourne/Sydney,11 March 2020,11 March 2020,"1, 2, 3"
EY450,Etihad,Abu Dhabi/Sydney,11 March 2020,12 March 2020,"42, 43, 44, 45"
BA15,British Airways,Singapore/Sydney,11 March 2020,12 March 2020,"15, 16"
QF426,Qantas,Melbourne/Sydney,14 March 2020,14 March 2020,"8, 9, 10, 11, 12"
EK414,Emirates,Dubai/Sydney,15 March 2020,15 March 2020,"39,40, 41, 42, 43"
