Flight,Airline,Origin/Destination,Date of departure,Date of arrival,Close contact rows
QR908,Qatar Airlines,Doha/Sydney,22 February 2020,23 February 2020,"41, 42, 43, 44, 45"
EK416,Emirates,Dubai/Sydney,23 February 2020,24 February 2020,"23, 24, 25, 26, 27"
KE121,Korean Air,Seoul/Sydney,26 February 2020,27 February 2020,"41, 42, 43, 44, 45"
QF02,Qantas,Singapore/Sydney,27 February 2020,28 February 2020,"3, 4, 5, 6, 731, 32, 33"
QF1509,Qantas,Sydney/Canberra,28 February 2020,28 February 2020,"2, 3, 4, 5, 6"
VA651,Virgin Australia,Canberra/Sydney,28 February 2020,28 February 2020,"3, 4, 5, 6, 7"
SQ211,Singapore Airlines,Singapore/Sydney,29 February 2020,29 February 2020,"29, 30, 31, 32, 33"
OD171,Malindo Air,Kuala Lumpur/Sydney(via De​npasar),29 February 2020,1 March 2020,"13, 14, 15, 16, 17"
QF82,Qantas,Singapore/Sydney,29 February 2020,1 March 2020,"30, 31, 32, 33, 34"
QR906,Qatar Airlines,Doha/Sydney,29 February 2020,1 March 2020,"17, 18, 19, 20, 21"
QF74,Qantas,San Francisco/Sydney,29 February 2020,2 March 2020,"44, 45, 46, 47, 48"
PR213,Philippine Airlines,Manila/Sydney,1 March 2020,1 March 2020,"59, 60, 61, 62, 63"
SQ221,Singapore Airlines,Singapore/Sydney,1 March 2020,2 March 2020,"91, 92, 93, 94, 95"
SQ231,Singapore Airlines,Singapore/Sydney,2 March 2020,2 March 2020,31-41
QR908,Qatar Airlines,Doha/Sydney,2 March 2020,2 March 2020,"49, 50, 51, 52, 53"
5J39,Cebu Pacific,Philippines/Sydney,2 March 2020,3 March 2020,"22, 23, 24, 25, 26"
VA811,Virgin Australia,Melbourne/Sydney,3 March 2020,3 March 2020,"22, 23, 24, 25, 26"
BA15,British Airways,London/Sydney(via Singapore),3 March 2020,5 March 2020,"22, 23, 24, 25, 26"
VA800,Virgin Australia,Sydney/Melbourne,4 March 2020,4 March 2020,"1, 2, 3, 4"
5J39,Cebu Pacific,Manila/Sydney,4 March 2020,5 March 2020,"37, 38, 39, 40, 41"
KE121,Korean Air,Incheon Korea/Sydney,4 March 2020,5 March 2020,"50, 51, 52, 53, 54"
EY450,Etihad,Adu Dhabi/Sydney,5 March 2020,6 March 2020,"42, 43, 44, 45, 46"
SQ221,Singapore,Singapore/Sydney,5 March 2020,6 March 2020,"19, 20, 21, 22, 23, 24"
VA833,Virgin Australia,Melbourne/Sydney,6 March 2020,6 March 2020,"1, 2, 3, 4"
CX101,Cathay Pacific,Hong Kong/Sydney,6 March 2020,7 March 2020,"29, 30, 31, 32, 33"
EK412QF8412,Emirates,Dubai/Sydney,6 March 2020,7 March 2020,"1, 2, 3"
EK414,Emirates,Dubai/Sydney,7 March 2020,7 March 2020,"63, 64, 65, 66, 67, 68, 69, 70, 71, 72"
EK090,Emirates,Switzerland/Dubai,7 March 2020,7 March 2020,"39, 40, 41, 42, 43"
MH123,Malaysian Airlines,Kulala Lumpur/Sydney,7 March 2020,8 March 2020,"12, 14, 15, 16, 17"
EK414,Emirates,Dubai/Sydney,7 March 2020,8 March 2020,"5, 6, 7, 8, 9, 11, 1214, 15, 1645, 46, 47, 48, 4958, 59, 60, 61, 62"
QF8,Qantas,Dallas/Sydney,7 March 2020,9 March 2020,"58, 59, 60, 61, 62"
QF12,Qantas,Los Angeles/Sydney,7 March 2020,9 March 2020,"84, 85, 86, 87, 88"
QF56,Qantas,Los Angeles/Sydney,7 March 2020,9 March 2020,"1, 2, 3, 4"
QF74,Qantas,San Francisco/Sydney,7 March 2020,9 March 2020,"3, 4, 5, 6, 7"
