International / Domestic,Flight,Origin / Destination,Date of Arrival
International,EY20 Etihad Airways,Heathrow to Abu Dhabi,28 February 2020
International,EY450 Etihad Airways,Abu Dhabi to Sydney,29 February 2020
Domestic,VA412 Virgin Australia,Sydney to Adelaide,29 February 2020
International,MH139 Malaysian Airlines,Kuala Lumpur to Adelaide,1 March 2020
International,BR315 EVA Airlines,Taiwan to Brisbane,3 March 2020
Domestic,VA1394 Virgin Australia,Brisbane to Adelaide,3 March 2020
Domestic,QF697 Qantas,Melbourne to Adelaide,4 March 2020
International,SQ919 Singapore Airlines,Manilla to Singapore,8 March 2020
International,AA3193,Aspen to Los Angeles,9 March 2020
International,QF56 Qantas,Los Angeles to Brisbane,9 March 2020
International,SQ279 Singapore Airlines,Singapore to Adelaide,9 March 2020
International,EY84 Etihad Airways,Rome to Abu Dhabi,9 March 2020
International,EY450 Etihad Airways,Abu Dhabi to Sydney,10 March 2020
Domestic,VA418 Virgin Australia,Sydney to Adelaide,10 March 2020
International,QF663 Qantas,Brisbane to Adelaide,10 March 2020
International,QF12 Qantas,Los Angeles to Sydney,11 March 2020
International,QF741 Qantas,Sydney to Adelaide,11 March 2020
